2,717284832,4
7,717284832,1
8,717284832,1
9,717284832,1
10,717284832,1
12,717284832,1
14,717284832,1
16,717284832,1
17,717284832,5
19,717284832,5
20,717284832,3
22,717284832,1
23,717284832,1
26,717284832,5
32,717284832,1
36,717284832,1
38,446610038,1
592,446610038,1
585,446610038,5
569,446610038,1
567,446610038,4
566,446610038,4
565,446610038,5
564,446610038,1
559,446610038,1
558,446610038,1
552,446610038,1
547,446610038,4
546,446610038,4
542,446610038,1
538,446610038,5
537,446610038,1
530,446610038,1
523,446610038,4
518,446610038,5
516,446610038,1
513,446610038,1
512,446610038,5
508,446610038,1
507,446610038,4
505,446610038,5
503,446610038,1
501,446610038,1
500,446610038,1
499,446610038,3
496,446610038,1
494,446610038,1
493,446610038,1
489,446610038,1
487,446610038,4
486,446610038,4
483,446610038,1
479,446610038,5
476,446610038,3
475,446610038,4
472,446610038,1
469,446610038,1
463,446610038,1
460,446610038,3
453,446610038,4
447,446610038,1
446,446610038,1
444,446610038,2
441,446610038,4
440,446610038,5
439,446610038,4
438,446610038,1
435,446610038,1
433,446610038,1
432,446610038,3
431,446610038,3
430,446610038,1
424,446610038,1
422,446610038,5
413,446610038,4
408,446610038,5
406,446610038,1
400,446610038,4
393,446610038,5
392,446610038,5
388,446610038,5
387,446610038,1
384,446610038,5
383,446610038,1
382,446610038,5
376,446610038,1
372,446610038,1
369,446610038,5
367,446610038,1
364,446610038,1
362,446610038,1
361,446610038,1
359,446610038,5
357,446610038,4
356,446610038,1
345,446610038,1
343,446610038,1
339,446610038,1
338,446610038,5
337,446610038,5
334,446610038,1
332,446610038,1
327,446610038,1
326,446610038,4
323,446610038,1
316,446610038,1
313,446610038,1
311,446610038,1
310,446610038,4
306,446610038,1
302,446610038,1
300,446610038,1
291,446610038,1
289,446610038,4
280,446610038,5
278,446610038,1
273,446610038,4
272,446610038,5
269,446610038,1
257,446610038,1
256,446610038,4
254,446610038,4
250,446610038,1
249,446610038,1
247,446610038,1
244,446610038,4
243,446610038,3
242,446610038,1
241,446610038,4
237,446610038,5
236,446610038,5
233,446610038,1
232,446610038,3
230,446610038,1
228,446610038,1
